t,H
5.543,-1.0
5.577,-1.0
5.612,-1.0
5.646,-0.999
5.68,-0.999
5.714,-0.997
5.748,-0.994
5.782,-0.987
5.816,-0.972
5.85,-0.939
5.885,-0.871
5.919,-0.735
5.953,-0.497
5.987,-0.15
6.021,0.239
6.055,0.564
6.089,0.776
6.123,0.891
6.158,0.949
6.192,0.977
6.226,0.989
6.26,0.995
6.294,0.998
6.328,0.999
6.362,1.0
6.396,1.0
6.431,1.0
6.465,1.0
6.499,1.0
6.533,1.0
6.567,1.0
6.601,1.0
6.635,1.0
6.669,0.999
6.704,0.998
6.738,0.995
6.772,0.99
6.806,0.978
6.84,0.952
6.874,0.897
6.908,0.786
6.942,0.582
6.977,0.265
7.011,-0.123
7.045,-0.477
7.079,-0.723
7.113,-0.864
7.147,-0.936
7.181,-0.97
7.215,-0.986
7.25,-0.994
7.284,-0.997
7.318,-0.999
7.352,-0.999
7.386,-1.0
7.42,-1.0
7.454,-1.0
7.488,-1.0
7.523,-1.0
7.557,-1.0
7.591,-1.0
7.625,-1.0
7.659,-0.999
7.693,-0.998
7.727,-0.996
7.761,-0.992
7.796,-0.983
7.83,-0.962
7.864,-0.918
7.898,-0.828
7.932,-0.656
7.966,-0.373
8.0,0.003
8.034,0.378
8.069,0.66
8.103,0.83
8.137,0.919
8.171,0.962
8.205,0.983
8.239,0.992
8.273,0.996
8.307,0.998
8.342,0.999
8.376,1.0
8.41,1.0
8.444,1.0
8.478,1.0
8.512,1.0
8.546,1.0
8.58,1.0
8.615,1.0
8.649,0.999
8.683,0.999
8.717,0.997
8.751,0.994
8.785,0.986
8.819,0.97
8.853,0.935
8.888,0.862
8.922,0.72
8.956,0.472
8.99,0.117
9.024,-0.271
9.058,-0.587
9.092,-0.789
9.126,-0.898
9.16,-0.952
9.195,-0.978
9.229,-0.99
9.263,-0.995
9.297,-0.998
9.331,-0.999
9.365,-1.0
9.399,-1.0
9.433,-1.0
9.468,-1.0
9.502,-1.0
9.536,-1.0
9.57,-1.0
9.604,-1.0
9.638,-1.0
9.672,-0.999
9.706,-0.998
9.741,-0.995
9.775,-0.989
9.809,-0.976
9.843,-0.949
9.877,-0.89
9.911,-0.773
9.945,-0.56
9.979,-0.233
10.014,0.156
10.048,0.502
10.082,0.738
10.116,0.872
10.15,0.94
10.184,0.972
10.218,0.987
10.252,0.994
10.287,0.997
10.321,0.999
10.355,0.999
10.389,1.0
10.423,1.0
10.457,1.0
10.491,1.0
10.525,1.0
10.56,1.0
10.594,1.0
10.628,1.0
10.662,0.999
10.696,0.998
10.73,0.996
10.764,0.992
10.798,0.981
10.833,0.959
10.867,0.913
10.901,0.817
10.935,0.637
10.969,0.344
11.003,-0.037
11.037,-0.407
11.071,-0.679
11.106,-0.84
11.14,-0.924
11.174,-0.965
11.208,-0.984
11.242,-0.993
11.276,-0.997
11.31,-0.999
11.344,-0.999
11.379,-1.0
11.413,-1.0
11.447,-1.0
11.481,-1.0
11.515,-1.0
11.549,-1.0
11.583,-1.0
11.617,-1.0
11.652,-0.999
11.686,-0.999
11.72,-0.997
11.754,-0.993
11.788,-0.985
11.822,-0.968
11.856,-0.931
11.89,-0.853
11.925,-0.703
11.959,-0.445
11.993,-0.083
12.027,0.302
12.061,0.608
12.095,0.801
12.129,0.904
12.163,0.955
12.198,0.98
12.232,0.991
12.266,0.996
12.3,0.998
12.334,0.999
12.368,1.0
12.402,1.0
12.436,1.0
12.471,1.0
12.505,1.0
12.539,1.0
12.573,1.0
12.607,1.0
12.641,1.0
12.675,0.999
12.709,0.998
12.744,0.995
12.778,0.988
12.812,0.975
12.846,0.945
12.88,0.883
12.914,0.759
12.948,0.536
12.982,0.201
13.016,-0.189
13.051,-0.527
13.085,-0.753
13.119,-0.88
13.153,-0.944
13.187,-0.974
13.221,-0.988
13.255,-0.995
13.289,-0.998
13.324,-0.999
13.358,-1.0
13.392,-1.0
13.426,-1.0
13.46,-1.0
13.494,-1.0
13.528,-1.0
13.562,-1.0
13.597,-1.0
13.631,-1.0
13.665,-0.999
13.699,-0.998
13.733,-0.996
13.767,-0.991
13.801,-0.98
13.835,-0.957
13.87,-0.907
13.904,-0.806
13.938,-0.617
13.972,-0.314
14.006,0.07
14.04,0.434
14.074,0.696
14.108,0.85
14.143,0.929
14.177,0.967
14.211,0.985
14.245,0.993
14.279,0.997
14.313,0.999
14.347,0.999
